EmployeeID,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,left,promotion_last_5years,Department,salary
EMP041,0.87,0.89,6,229,9,0,0,0,support,low
EMP042,0.56,0.84,4,208,9,1,0,0,technical,high
EMP043,0.41,0.97,5,155,5,1,0,0,hr,medium
EMP044,0.9,0.62,7,222,4,0,0,0,marketing,medium
EMP045,0.66,0.78,4,246,7,0,0,0,hr,low
EMP046,0.91,0.55,6,211,6,0,0,0,marketing,medium
EMP047,0.72,0.93,7,163,8,0,0,0,management,medium
EMP048,0.89,0.89,5,195,7,0,0,0,accounting,medium
EMP049,0.24,0.51,6,273,2,0,1,0,support,low
EMP050,0.57,0.83,2,151,2,0,0,0,support,low
EMP051,0.36,0.96,3,252,8,0,0,1,technical,high
EMP052,0.48,0.84,3,217,3,1,0,1,support,medium
EMP053,0.41,0.68,2,235,3,0,0,0,support,low
EMP054,0.81,0.87,5,163,2,0,0,0,hr,medium
EMP055,0.43,0.61,7,253,1,0,0,0,support,medium
EMP056,0.43,0.92,7,173,8,0,0,0,hr,low
EMP057,0.82,0.55,4,234,5,0,0,0,marketing,medium
EMP058,0.83,0.57,7,176,2,0,0,0,marketing,low
EMP059,0.77,0.72,7,194,3,1,0,0,sales,medium
EMP060,0.63,0.61,2,175,2,0,0,0,sales,medium
EMP061,0.97,0.65,3,203,5,0,0,0,management,high
EMP062,0.73,0.85,4,146,5,0,0,0,management,high
EMP063,0.47,0.69,7,153,4,0,0,0,management,high
EMP064,0.67,0.79,6,143,6,1,0,0,hr,low
EMP065,0.9,0.78,4,279,3,0,0,1,management,high
EMP066,0.84,0.51,2,143,5,0,0,1,technical,medium
EMP067,0.96,0.7,4,268,7,0,0,0,technical,high
EMP068,0.76,0.76,3,211,2,0,0,0,management,medium
EMP069,0.18,0.8,6,241,4,0,1,0,technical,medium
EMP070,0.77,0.82,4,251,4,0,0,0,accounting,medium
EMP071,0.63,0.72,6,154,5,0,0,0,technical,low
EMP072,0.46,0.51,3,142,3,0,0,0,sales,medium
EMP073,0.68,0.9,4,182,6,0,0,0,management,high
EMP074,0.52,0.93,2,225,7,0,0,0,sales,medium
EMP075,0.42,0.67,2,263,4,0,1,0,technical,low
EMP076,0.9,0.58,3,205,2,1,0,0,sales,medium
EMP077,0.42,0.86,2,151,1,0,0,0,support,low
EMP078,0.6,0.57,2,247,4,0,0,0,management,high
EMP079,0.81,0.63,2,235,2,0,0,1,accounting,medium
EMP080,0.17,0.79,2,251,1,1,1,1,technical,medium
EMP081,0.85,0.65,2,256,1,0,0,0,accounting,medium
EMP082,0.45,0.76,3,259,3,0,1,0,marketing,medium
EMP083,0.84,0.6,6,202,3,0,0,0,marketing,medium
EMP084,0.5,0.67,7,142,6,0,0,0,support,medium
EMP085,0.89,0.86,2,192,9,1,0,0,support,low
EMP086,0.53,0.89,3,291,3,0,1,1,accounting,medium
EMP087,0.92,0.75,7,235,8,1,0,0,hr,medium
EMP088,0.41,0.57,5,159,10,0,0,0,management,high
EMP089,0.97,0.62,4,220,7,0,0,0,technical,medium
EMP090,0.55,0.63,2,191,3,0,0,0,technical,high
EMP091,0.45,0.58,5,220,7,0,0,0,technical,high
EMP092,0.84,0.72,5,207,2,0,0,0,accounting,high
EMP093,0.23,0.74,6,205,2,0,1,0,marketing,medium
EMP094,0.41,0.62,4,241,9,0,0,0,technical,medium
EMP095,0.47,0.45,5,309,4,0,1,0,management,medium
EMP096,0.41,0.55,3,171,1,0,0,0,accounting,high
EMP097,0.49,0.6,5,235,2,0,0,0,accounting,high
EMP098,0.87,0.51,2,190,8,0,0,0,management,high
EMP099,0.89,0.9,2,150,8,0,0,1,marketing,high
EMP100,0.63,0.85,5,147,7,0,0,0,hr,medium
EMP101,0.49,0.59,4,254,3,0,0,0,management,high
EMP102,0.51,0.64,5,280,8,0,0,0,support,medium
EMP103,0.44,0.6,6,203,9,0,0,1,management,medium
EMP104,0.85,0.68,6,264,6,1,0,0,technical,medium
EMP105,0.6,0.59,4,196,1,1,0,0,management,medium
EMP106,0.39,0.99,6,231,10,1,0,1,sales,high
EMP107,0.41,0.82,4,276,1,0,0,1,technical,medium
EMP108,0.72,0.98,5,230,3,0,0,0,hr,medium
EMP109,0.87,0.84,6,147,6,1,0,0,management,high
EMP110,0.71,0.59,5,278,5,0,0,0,hr,medium
EMP111,0.39,0.79,2,274,8,0,0,1,accounting,high
EMP112,0.48,0.56,7,185,6,0,0,0,support,medium
EMP113,0.8,0.57,2,274,6,1,0,0,marketing,low
EMP114,0.52,0.57,2,243,3,0,1,1,technical,medium
EMP115,0.82,0.71,7,264,6,0,0,1,sales,low
EMP116,0.79,0.96,4,197,10,0,0,0,hr,medium
EMP117,0.82,0.64,3,140,10,0,0,1,technical,high
EMP118,0.97,0.52,6,221,10,0,0,0,accounting,high
EMP119,0.52,0.44,2,230,3,1,1,0,sales,high
EMP120,0.5,0.41,4,257,1,0,1,0,support,medium
EMP121,0.39,0.63,2,140,1,0,0,0,technical,high
EMP122,0.54,0.84,5,248,3,0,1,0,management,high
EMP123,0.31,0.83,3,220,4,0,1,0,accounting,high
EMP124,0.54,0.66,2,158,6,0,0,0,sales,medium
EMP125,0.82,0.77,2,226,10,1,0,1,technical,high
EMP126,0.8,0.71,7,182,10,1,0,0,marketing,medium
EMP127,0.14,0.47,3,252,6,0,1,1,hr,medium
EMP128,0.34,0.72,4,230,1,0,1,0,sales,medium
EMP129,0.89,0.58,4,140,7,0,0,0,support,high
EMP130,0.75,0.74,2,146,4,0,0,0,management,medium
EMP131,0.4,0.91,4,241,8,0,0,0,marketing,medium
EMP132,0.41,0.77,3,234,7,0,0,0,sales,medium
EMP133,0.52,0.73,3,208,10,0,0,0,sales,medium
EMP134,0.78,0.54,4,278,7,1,0,0,management,medium
EMP135,0.7,0.91,6,247,9,0,0,1,management,medium
EMP136,0.72,0.62,4,160,7,1,0,0,technical,high
EMP137,0.67,0.94,6,177,2,1,0,0,technical,medium
EMP138,0.53,0.45,3,303,2,0,1,0,support,medium
EMP139,0.54,0.6,3,306,5,0,1,1,sales,medium
EMP140,0.94,0.53,5,241,9,0,0,0,hr,low
EMP141,0.64,0.93,7,273,7,0,0,0,hr,low
EMP142,0.35,0.67,2,213,5,0,1,0,technical,high
EMP143,0.91,0.93,5,207,7,0,0,0,technical,medium
EMP144,0.65,0.58,5,176,10,0,0,0,sales,high
EMP145,0.37,0.94,4,200,1,0,0,1,technical,high
EMP146,0.92,0.51,4,219,5,0,0,1,sales,low
EMP147,0.79,0.98,3,174,5,1,0,0,support,medium
EMP148,0.88,0.63,5,162,4,0,0,1,sales,medium
EMP149,0.61,0.74,6,235,1,0,0,0,management,high
EMP150,0.23,0.63,3,299,5,1,1,0,hr,low
EMP151,0.47,0.91,2,203,1,0,0,1,hr,medium
EMP152,0.41,0.51,5,264,4,0,1,0,technical,medium
EMP153,0.37,0.68,6,254,3,1,0,0,management,high
EMP154,0.34,0.55,4,295,6,0,1,0,technical,low
EMP155,0.38,0.92,3,196,4,0,0,0,accounting,high
EMP156,0.61,0.51,7,142,8,1,0,0,hr,low
EMP157,0.73,0.5,4,218,5,0,0,0,support,medium
EMP158,0.57,0.62,5,217,9,0,0,0,technical,high
EMP159,0.42,0.75,7,235,9,0,0,0,sales,medium
EMP160,0.54,0.55,2,226,5,0,0,1,marketing,low
EMP161,0.52,0.85,7,216,4,0,0,0,hr,low
EMP162,0.5,0.79,6,251,6,0,1,0,technical,medium
EMP163,0.37,0.74,4,206,7,0,0,0,technical,high
EMP164,0.72,0.99,3,227,4,0,0,0,sales,medium
EMP165,0.65,0.96,4,269,5,0,0,0,sales,medium
EMP166,0.91,0.59,2,260,3,0,0,0,accounting,medium
EMP167,0.35,0.85,4,283,1,0,1,0,marketing,medium
EMP168,0.91,0.71,4,235,5,0,0,0,hr,medium
EMP169,0.43,0.53,7,158,8,1,0,0,support,medium
EMP170,0.49,0.57,4,252,1,1,1,0,technical,high
EMP171,0.99,0.67,6,257,3,0,0,0,sales,medium
EMP172,0.85,0.74,7,185,6,0,0,0,technical,medium
EMP173,0.53,0.87,3,180,8,0,0,0,technical,medium
EMP174,0.43,0.71,5,243,7,1,0,0,management,high
EMP175,0.11,0.47,4,201,3,0,1,0,support,low
EMP176,0.36,0.5,7,203,4,0,0,0,accounting,medium
EMP177,0.43,0.69,6,218,3,0,0,0,technical,medium
EMP178,0.53,0.61,6,276,5,0,1,1,hr,medium
EMP179,0.99,0.67,5,231,4,0,0,1,marketing,medium
EMP180,0.46,0.37,3,293,2,0,1,0,accounting,high
EMP181,0.67,0.56,7,149,7,1,0,0,hr,low
EMP182,0.69,0.52,2,167,1,0,0,0,support,medium
EMP183,0.63,0.56,4,261,3,0,0,0,management,high
EMP184,0.09,0.59,2,284,5,0,1,0,technical,medium
EMP185,0.44,0.91,2,270,10,0,0,0,sales,low
EMP186,0.42,0.6,3,207,9,1,0,0,hr,medium
EMP187,0.61,0.58,6,267,4,0,0,0,technical,medium
EMP188,0.5,0.51,2,168,10,0,0,0,sales,low
EMP189,0.41,0.75,7,165,5,0,0,0,hr,low
EMP190,0.54,0.5,2,212,2,1,1,1,technical,medium
EMP191,0.58,0.83,5,169,2,1,0,1,management,medium
EMP192,0.09,0.43,3,242,3,1,1,1,accounting,medium
EMP193,0.52,0.86,4,227,3,0,0,0,support,medium
EMP194,0.64,0.91,7,262,7,0,0,0,management,high
EMP195,0.42,0.84,2,180,2,0,0,0,marketing,low
EMP196,0.86,0.83,3,237,6,0,0,1,hr,medium
EMP197,0.91,0.86,3,263,8,0,0,0,management,medium
EMP198,0.38,0.63,4,143,9,0,0,0,technical,high
EMP199,0.71,0.98,7,226,9,0,0,0,technical,high
EMP200,0.41,0.82,3,263,6,0,0,0,technical,high
EMP201,0.45,0.9,6,153,1,0,0,0,accounting,medium
EMP202,0.48,0.82,3,209,4,0,1,0,sales,medium
EMP203,0.22,0.63,6,282,4,0,1,0,technical,high
EMP204,0.3,0.79,5,211,4,0,1,0,hr,medium
EMP205,0.67,0.82,2,243,7,0,0,0,support,low
EMP206,0.88,0.89,6,217,9,0,0,0,support,low
EMP207,0.64,0.67,2,197,8,0,0,0,accounting,high
EMP208,0.73,0.85,4,255,2,0,0,0,sales,medium
EMP209,0.35,0.67,7,214,9,0,0,0,marketing,medium
EMP210,0.38,0.58,3,244,2,0,0,0,sales,medium
EMP211,0.43,0.92,3,257,4,0,0,0,hr,low
EMP212,0.62,0.95,7,171,8,0,0,0,support,high
EMP213,0.67,0.97,2,275,1,0,0,0,accounting,medium
EMP214,0.72,0.95,3,184,3,0,0,0,sales,medium
EMP215,0.37,0.53,5,253,5,1,1,0,hr,low
EMP216,0.53,0.97,4,255,3,0,0,0,marketing,medium
EMP217,0.92,0.75,7,280,6,0,0,1,accounting,medium
EMP218,0.75,0.6,6,214,6,1,0,0,hr,medium
EMP219,0.8,0.98,3,268,9,0,0,0,technical,high
EMP220,0.14,0.55,5,274,5,1,1,0,accounting,medium
EMP221,0.78,0.94,6,213,7,0,0,0,technical,medium
EMP222,0.37,0.57,7,154,4,0,0,0,support,medium
EMP223,0.98,0.83,3,155,5,0,0,0,accounting,medium
EMP224,0.58,0.72,6,197,9,0,0,0,technical,high
EMP225,0.86,0.84,7,152,7,0,0,1,marketing,medium
EMP226,0.54,0.53,6,206,1,0,1,0,sales,medium
EMP227,0.91,0.92,5,197,6,0,0,0,management,high
EMP228,0.74,0.88,3,215,8,0,0,0,technical,medium
EMP229,0.18,0.45,6,215,4,0,1,0,technical,medium
EMP230,0.52,0.58,4,141,6,0,0,1,support,low
EMP231,0.11,0.86,6,206,6,0,1,0,technical,high
EMP232,0.66,0.78,4,158,6,0,0,1,support,medium
EMP233,0.68,0.89,3,246,9,0,0,0,management,high
EMP234,0.49,0.6,4,224,6,0,0,1,accounting,high
EMP235,0.37,0.62,6,305,6,0,1,0,hr,low
EMP236,0.64,0.94,6,202,1,0,0,0,technical,high
EMP237,0.94,0.96,5,205,9,0,0,0,management,medium
EMP238,0.68,0.88,6,270,8,0,0,0,technical,high
EMP239,0.77,0.66,2,164,3,1,0,0,accounting,medium
EMP240,0.69,0.81,3,194,7,0,0,0,accounting,medium
EMP241,0.88,0.93,7,251,2,0,0,0,accounting,medium
EMP242,0.64,0.66,2,158,1,0,0,0,hr,medium
EMP243,0.12,0.8,4,252,4,0,1,0,marketing,medium
EMP244,0.24,0.57,2,268,1,0,1,0,marketing,medium
EMP245,0.83,0.79,7,158,6,1,0,0,management,medium
EMP246,0.85,0.65,2,212,8,0,0,0,management,high
EMP247,0.37,0.58,3,174,7,0,0,0,sales,high
EMP248,0.23,0.7,4,286,6,0,1,1,technical,high
EMP249,0.36,0.93,3,171,1,0,0,0,support,medium
EMP250,0.69,0.96,4,193,6,0,0,1,management,high
EMP251,0.48,0.44,3,228,5,0,1,0,hr,medium
EMP252,0.17,0.79,2,308,5,0,1,0,technical,high
EMP253,0.54,0.53,2,190,10,0,0,0,marketing,medium
EMP254,0.43,0.82,2,212,10,0,0,0,technical,medium
EMP255,0.31,0.54,4,288,5,0,1,0,accounting,medium
EMP256,0.87,0.97,3,141,6,0,0,0,management,high
EMP257,0.43,0.6,4,217,6,0,1,1,sales,low
EMP258,0.65,0.68,4,264,9,0,0,0,marketing,medium
EMP259,0.13,0.51,3,268,2,0,1,1,management,medium
EMP260,0.4,0.54,2,269,1,0,0,0,technical,medium
EMP261,0.84,0.6,2,206,9,1,0,0,marketing,medium
EMP262,0.77,0.57,5,197,10,0,0,0,sales,medium
EMP263,0.65,0.75,5,233,9,0,0,0,technical,medium
EMP264,0.53,0.89,3,296,5,0,1,0,hr,medium
EMP265,0.71,0.78,3,263,6,0,0,0,technical,high
EMP266,0.5,0.63,3,150,4,0,0,0,management,medium
EMP267,0.6,0.95,2,150,6,0,0,1,technical,medium
EMP268,0.76,0.63,7,207,10,0,0,0,technical,high
EMP269,0.77,0.68,7,159,9,0,0,1,technical,high
EMP270,0.49,0.7,4,264,8,1,0,0,support,medium
EMP271,0.5,0.6,3,209,5,0,1,0,technical,high
EMP272,0.47,0.68,7,170,4,0,0,0,technical,medium
EMP273,0.42,0.83,5,193,10,0,0,0,management,medium
EMP274,0.1,0.38,6,275,2,0,1,0,technical,medium
EMP275,0.92,0.57,3,206,3,0,0,0,management,medium
EMP276,0.97,0.81,7,212,2,0,0,0,technical,high
EMP277,0.65,0.74,3,245,10,0,0,0,support,low
EMP278,0.84,0.81,6,207,3,0,0,0,management,high
EMP279,0.64,0.79,3,236,7,0,0,0,technical,medium
EMP280,0.68,0.95,7,247,3,0,0,0,management,high
EMP281,0.93,0.79,6,268,2,0,0,0,marketing,medium
EMP282,0.93,0.76,2,250,9,0,0,1,marketing,medium
EMP283,0.8,0.71,5,237,6,0,0,0,management,medium
EMP284,0.84,0.84,2,248,3,0,0,0,technical,medium
EMP285,0.93,0.54,6,279,7,0,0,0,marketing,medium
EMP286,0.43,0.36,6,215,5,0,1,0,management,high
EMP287,0.41,0.53,4,213,2,0,1,0,accounting,high
EMP288,0.52,0.76,6,233,10,0,0,0,marketing,high
EMP289,0.83,0.7,6,263,3,0,0,0,support,medium
EMP290,0.21,0.53,4,299,6,0,1,0,sales,medium
EMP291,0.9,0.56,3,254,3,0,0,0,sales,medium
EMP292,0.45,0.79,6,289,6,0,1,0,marketing,medium
EMP293,0.53,0.36,2,305,2,0,1,0,accounting,medium
EMP294,0.41,0.63,4,160,10,0,0,0,technical,medium
EMP295,0.54,0.69,6,236,6,1,1,0,technical,medium
EMP296,0.45,0.45,5,256,1,0,1,0,sales,medium
EMP297,0.46,0.51,2,300,5,0,1,0,management,high
EMP298,0.37,0.72,4,230,6,0,1,0,sales,high
EMP299,0.99,0.88,4,241,7,0,0,0,hr,low
EMP300,0.82,0.53,2,280,5,0,0,0,accounting,medium
